date,brand,Product Line,size,presentation,sales
4/10/2021,Producto 1,Light,12,Can,$87.94 
4/10/2021,Producto 2,Main,1,Can,$260.15 
4/10/2021,Producto 3,lager,1,Bottle,$176.41 
4/10/2021,Producto 4,IPA,18,Can,$239.88 
4/10/2021,Producto 5,Variety,12,Bottle,"$2,098.09 "
4/10/2021,Producto 6,Ale,6,Bottle,"$2,341.76 "
4/10/2021,Producto 7,Main,12,Can,$792.51 
4/10/2021,Producto 8,Light,6,Bottle,"$1,050.89 "
4/10/2021,Producto 9,Main,12,Bottle,"$2,771.14 "
4/10/2021,Producto 10,lager,12,Bottle,"$1,048.24 "
4/10/2021,Producto 11,lager,18,Can,$79.96 
4/10/2021,Producto 12,IPA,6,Bottle,$496.49 
4/10/2021,Producto 13,IPA,12,Bottle,$66.95 
4/10/2021,Producto 14,lager,6,Bottle,"$1,704.43 "
4/10/2021,Producto 15,Main,1,can,$180.88 
4/10/2021,Producto 16,Variety,6,Can,$187.80 
4/10/2021,Producto 17,Variety,12,Can,$690.54 
4/10/2021,Producto 18,Variety,6,Bottle,$698.24 
5/10/2021,Producto 7,Main,12,Can,$566.66 
5/10/2021,Producto 14,lager,6,Bottle,"$1,761.59 "
5/10/2021,Producto 6,Ale,6,Bottle,"$2,532.40 "
5/10/2021,Producto 16,Variety,6,Can,$171.81 
5/10/2021,Producto 4,IPA,18,Can,$339.83 
5/10/2021,Producto 17,Variety,12,Can,$863.43 
5/10/2021,Producto 3,lager,1,Bottle,$158.47 
5/10/2021,Producto 8,Light,6,Bottle,"$1,080.86 "
5/10/2021,Producto 10,lager,12,Bottle,$830.39 
5/10/2021,Producto 13,IPA,12,Bottle,$137.90 
5/10/2021,Producto 11,lager,18,Can,$139.93 
5/10/2021,Producto 15,Main,1,can,$248.33 
5/10/2021,Producto 2,Main,1,Can,$269.12 
5/10/2021,Producto 5,Variety,12,Bottle,"$2,390.29 "
5/10/2021,Producto 9,Main,12,Bottle,"$2,484.29 "
5/10/2021,Producto 12,IPA,6,Bottle,$435.30 
5/10/2021,Producto 18,Variety,6,Bottle,$722.73 
5/10/2021,Producto 1,Light,12,Can,$159.89 
6/10/2021,Producto 3,lager,1,Bottle,$152.49 
6/10/2021,Producto 13,IPA,12,Bottle,$118.92 
6/10/2021,Producto 2,Main,1,Can,$281.08 
6/10/2021,Producto 18,Variety,6,Bottle,$752.68 
6/10/2021,Producto 1,Light,12,Can,$47.97 
6/10/2021,Producto 16,Variety,6,Can,$181.80 
6/10/2021,Producto 12,IPA,6,Bottle,$459.53 
6/10/2021,Producto 14,lager,6,Bottle,"$1,972.89 "
6/10/2021,Producto 9,Main,12,Bottle,"$2,554.29 "
6/10/2021,Producto 15,Main,1,can,$315.80 
6/10/2021,Producto 7,Main,12,Can,$876.47 
6/10/2021,Producto 4,IPA,18,Can,$239.88 
6/10/2021,Producto 8,Light,6,Bottle,"$1,136.30 "
6/10/2021,Producto 5,Variety,12,Bottle,"$1,572.93 "
6/10/2021,Producto 6,Ale,6,Bottle,"$2,564.10 "
6/10/2021,Producto 17,Variety,12,Can,$705.13 
6/10/2021,Producto 10,lager,12,Bottle,$610.57 
6/10/2021,Producto 11,lager,18,Can,$59.97 
7/10/2021,Producto 10,lager,12,Bottle,$803.43 
7/10/2021,Producto 8,Light,6,Bottle,"$1,493.38 "
7/10/2021,Producto 2,Main,1,Can,$332.92 
7/10/2021,Producto 9,Main,12,Bottle,"$2,869.10 "
7/10/2021,Producto 7,Main,12,Can,$891.94 
7/10/2021,Producto 18,Variety,6,Bottle,$989.11 
7/10/2021,Producto 14,lager,6,Bottle,"$2,352.97 "
7/10/2021,Producto 13,IPA,12,Bottle,$43.97 
7/10/2021,Producto 15,Main,1,can,$241.84 
7/10/2021,Producto 4,IPA,18,Can,$199.90 
7/10/2021,Producto 16,Variety,6,Can,$181.80 
7/10/2021,Producto 17,Variety,12,Can,$907.39 
7/10/2021,Producto 5,Variety,12,Bottle,"$2,059.59 "
7/10/2021,Producto 12,IPA,6,Bottle,$479.50 
7/10/2021,Producto 6,Ale,6,Bottle,"$3,024.96 "
7/10/2021,Producto 1,Light,12,Can,$31.98 
7/10/2021,Producto 3,lager,1,Bottle,$131.56 
7/10/2021,Producto 11,lager,18,Can,$159.92 
8/10/2021,Producto 6,Ale,6,Bottle,"$4,692.23 "
8/10/2021,Producto 13,IPA,12,Bottle,$203.86 
8/10/2021,Producto 11,lager,18,Can,$279.86 
8/10/2021,Producto 3,lager,1,Bottle,$170.43 
8/10/2021,Producto 16,Variety,6,Can,$209.77 
8/10/2021,Producto 14,lager,6,Bottle,"$3,169.11 "
8/10/2021,Producto 17,Variety,12,Can,"$1,435.02 "
8/10/2021,Producto 10,lager,12,Bottle,$979.31 
8/10/2021,Producto 7,Main,12,Can,"$1,707.45 "
8/10/2021,Producto 18,Variety,6,Bottle,"$1,071.86 "
8/10/2021,Producto 5,Variety,12,Bottle,"$3,590.85 "
8/10/2021,Producto 2,Main,1,Can,$366.79 
8/10/2021,Producto 9,Main,12,Bottle,"$4,727.67 "
8/10/2021,Producto 1,Light,12,Can,$271.83 
8/10/2021,Producto 15,Main,1,can,$367.76 
8/10/2021,Producto 8,Light,6,Bottle,"$1,941.42 "
8/10/2021,Producto 4,IPA,18,Can,$559.72 
8/10/2021,Producto 12,IPA,6,Bottle,$664.31 
9/10/2021,Producto 4,IPA,18,Can,$444.78 
9/10/2021,Producto 14,lager,6,Bottle,"$3,442.61 "
9/10/2021,Producto 2,Main,1,Can,$349.87 
9/10/2021,Producto 13,IPA,12,Bottle,$172.88 
9/10/2021,Producto 17,Variety,12,Can,"$1,413.03 "
9/10/2021,Producto 5,Variety,12,Bottle,"$4,500.52 "
9/10/2021,Producto 1,Light,12,Can,$271.83 
9/10/2021,Producto 6,Ale,6,Bottle,"$5,439.83 "
9/10/2021,Producto 3,lager,1,Bottle,$191.36 
9/10/2021,Producto 11,lager,18,Can,$279.86 
9/10/2021,Producto 7,Main,12,Can,"$1,413.14 "
9/10/2021,Producto 8,Light,6,Bottle,"$2,209.12 "
9/10/2021,Producto 18,Variety,6,Bottle,"$1,096.81 "
9/10/2021,Producto 9,Main,12,Bottle,"$5,519.33 "
9/10/2021,Producto 15,Main,1,can,$514.17 
