,date,brand,sales,Campaign,date_id
0,2021-04-10,Producto 1,87.94,Before,1
1,2021-04-10,Producto 2,260.15,Before,1
2,2021-04-10,Producto 3,176.41,Before,1
3,2021-04-10,Producto 4,239.88,Before,1
4,2021-04-10,Producto 5,2098.09,Before,1
5,2021-04-10,Producto 6,2341.76,Before,1
6,2021-04-10,Producto 7,792.51,Before,1
7,2021-04-10,Producto 8,1050.89,Before,1
8,2021-04-10,Producto 9,2771.14,Before,1
9,2021-04-10,Producto 10,1048.24,Before,1
10,2021-04-10,Producto 11,79.96,Before,1
11,2021-04-10,Producto 12,496.49,Before,1
12,2021-04-10,Producto 13,66.95,Before,1
13,2021-04-10,Producto 14,1704.43,Before,1
14,2021-04-10,Producto 15,180.88,Before,1
15,2021-04-10,Producto 16,187.8,Before,1
16,2021-04-10,Producto 17,690.54,Before,1
17,2021-04-10,Producto 18,698.24,Before,1
18,2021-05-10,Producto 7,566.66,Before,2
19,2021-05-10,Producto 14,1761.59,Before,2
20,2021-05-10,Producto 6,2532.4,Before,2
21,2021-05-10,Producto 16,171.81,Before,2
22,2021-05-10,Producto 4,339.83,Before,2
23,2021-05-10,Producto 17,863.43,Before,2
24,2021-05-10,Producto 3,158.47,Before,2
25,2021-05-10,Producto 8,1080.86,Before,2
26,2021-05-10,Producto 10,830.39,Before,2
27,2021-05-10,Producto 13,137.9,Before,2
28,2021-05-10,Producto 11,139.93,Before,2
29,2021-05-10,Producto 15,248.33,Before,2
30,2021-05-10,Producto 2,269.12,Before,2
31,2021-05-10,Producto 5,2390.29,Before,2
32,2021-05-10,Producto 9,2484.29,Before,2
33,2021-05-10,Producto 12,435.3,Before,2
34,2021-05-10,Producto 18,722.73,Before,2
35,2021-05-10,Producto 1,159.89,Before,2
36,2021-06-10,Producto 3,152.49,Before,3
37,2021-06-10,Producto 13,118.92,Before,3
38,2021-06-10,Producto 2,281.08,Before,3
39,2021-06-10,Producto 18,752.68,Before,3
40,2021-06-10,Producto 1,47.97,Before,3
41,2021-06-10,Producto 16,181.8,Before,3
42,2021-06-10,Producto 12,459.53,Before,3
43,2021-06-10,Producto 14,1972.89,Before,3
44,2021-06-10,Producto 9,2554.29,Before,3
45,2021-06-10,Producto 15,315.8,Before,3
46,2021-06-10,Producto 7,876.47,Before,3
47,2021-06-10,Producto 4,239.88,Before,3
48,2021-06-10,Producto 8,1136.3,Before,3
49,2021-06-10,Producto 5,1572.93,Before,3
50,2021-06-10,Producto 6,2564.1,Before,3
51,2021-06-10,Producto 17,705.13,Before,3
52,2021-06-10,Producto 10,610.57,Before,3
53,2021-06-10,Producto 11,59.97,Before,3
54,2021-07-10,Producto 10,803.43,Before,4
55,2021-07-10,Producto 8,1493.38,Before,4
56,2021-07-10,Producto 2,332.92,Before,4
57,2021-07-10,Producto 9,2869.1,Before,4
58,2021-07-10,Producto 7,891.94,Before,4
59,2021-07-10,Producto 18,989.11,Before,4
60,2021-07-10,Producto 14,2352.97,Before,4
61,2021-07-10,Producto 13,43.97,Before,4
62,2021-07-10,Producto 15,241.84,Before,4
63,2021-07-10,Producto 4,199.9,Before,4
64,2021-07-10,Producto 16,181.8,Before,4
65,2021-07-10,Producto 17,907.39,Before,4
66,2021-07-10,Producto 5,2059.59,Before,4
67,2021-07-10,Producto 12,479.5,Before,4
68,2021-07-10,Producto 6,3024.96,Before,4
69,2021-07-10,Producto 1,31.98,Before,4
70,2021-07-10,Producto 3,131.56,Before,4
71,2021-07-10,Producto 11,159.92,Before,4
72,2021-08-10,Producto 6,4692.23,Before,5
73,2021-08-10,Producto 13,203.86,Before,5
74,2021-08-10,Producto 11,279.86,Before,5
75,2021-08-10,Producto 3,170.43,Before,5
76,2021-08-10,Producto 16,209.77,Before,5
77,2021-08-10,Producto 14,3169.11,Before,5
78,2021-08-10,Producto 17,1435.02,Before,5
79,2021-08-10,Producto 10,979.31,Before,5
80,2021-08-10,Producto 7,1707.45,Before,5
81,2021-08-10,Producto 18,1071.86,Before,5
